кластер,sku_в_кластере,E8_всего,E8_A,доля_A,receivers,моделей_принтеров,наборов,baseline_выручка_receivers_₽,baseline_позиций_receivers,baseline_показы_receivers,baseline_расход_receivers_₽,спрос_receivers
картриджи hp 652,17,12,6,0.5,5,26,0,0.0,0,728.0,12.0,11683.0
hp color laser 150nw,9,4,2,0.5,5,5,3,0.0,0,0.0,0.0,193.0
106r02778,7,2,1,0.5,5,8,5,0.0,0,0.0,0.0,1212.0
pantum m6700dw,9,4,2,0.5,5,7,5,0.0,0,0.0,0.0,17378.0
tn-14,6,2,1,0.5,4,5,4,0.0,0,0.0,0.0,4749.0
9700x,6,2,1,0.5,4,15,4,0.0,0,0.0,0.0,433.0
alta nivelo,24,16,8,0.5,4,17,4,0.0,0,0.0,0.0,350.0
pg 445 canon картридж,11,6,3,0.5,4,9,1,0.0,0,140.0,7.0,4965.0
tn-2420,6,2,1,0.5,4,13,4,0.0,0,0.0,0.0,1485.0
keropur 3820,8,4,2,0.5,4,11,4,0.0,0,0.0,0.0,6390.0
epson workforce wf-110,6,2,1,0.5,4,6,1,0.0,0,78.0,0.0,1304.0
tl-420,7,2,1,0.5,4,12,5,0.0,0,0.0,0.0,316.0
принтер для фото,14,10,5,0.5,3,25,0,0.0,0,184.0,11.0,5400.0
pantum tl-2310h,5,2,1,0.5,3,4,1,0.0,0,59.0,0.0,10179.0
oki c821 барабан,5,2,1,0.5,3,9,0,0.0,0,74.0,14.0,5870.0
citizen,11,6,3,0.5,3,6,2,0.0,0,221.0,20.0,29466.0
dremel 8250,5,2,1,0.5,3,6,3,0.0,0,0.0,0.0,108.0
xerox c230,7,4,2,0.5,3,9,2,0.0,0,0.0,0.0,1427.0
картриджи,10,2,1,0.5,3,27,0,5140.0,1,52.0,0.0,36358.0
alpicool ir 42,5,2,1,0.5,3,6,2,0.0,0,10.0,0.0,5547.0
ce390x,7,4,2,0.5,3,9,2,0.0,0,31.0,0.0,22863.0
2035dn,5,2,1,0.5,3,10,3,0.0,0,0.0,0.0,1277.0
q6000a,13,8,4,0.5,3,9,1,6421.0,1,115.0,0.0,10099.0
mx518,5,2,1,0.5,3,0,0,0.0,0,0.0,0.0,62.0
pantum m6507w,6,2,1,0.5,3,8,2,0.0,0,221.0,8.0,16123.0
cf237x,5,2,1,0.5,3,11,3,0.0,0,0.0,0.0,55.0
ce320a,5,2,1,0.5,3,7,1,0.0,0,45.0,0.0,19242.0
49,17,14,7,0.5,2,16,1,0.0,0,20.0,0.0,14290.0
pfi-102,10,8,4,0.5,2,4,2,0.0,0,0.0,0.0,85.0
anker solix c1000,4,2,1,0.5,2,3,2,0.0,0,0.0,0.0,278.0
reolink cx410,4,2,1,0.5,2,7,2,0.0,0,0.0,0.0,1297.0
принтер цветной,9,6,3,0.5,2,23,0,10525.0,1,252.0,70.0,18388.0
лодка абакан 380 jet,4,2,1,0.5,2,4,0,0.0,0,19.0,0.0,16010.0
ризограф принтер,14,12,6,0.5,2,10,0,0.0,0,15.0,0.0,3207.0
epson 112,16,14,7,0.5,2,8,0,0.0,0,265.0,0.0,1608.0
цветной лазерный принтер,7,2,1,0.5,2,16,1,0.0,0,18.0,0.0,13967.0
w221,6,4,2,0.5,2,10,0,0.0,0,44.0,0.0,16560.0
