offer_id,name,vendorCode,category,barcodes,tc_parent,tc_vc,verdict,ms,ya_twin_ok,marketSku,mapping_keys
10102,Лента для печати наклеек PT-6100,273093,Картриджи для матричных принтеров,,43324401,,C,,,,marketCategoryId marketCategoryName
10306,Картридж T6031 фото-черный,2851,Картриджи для Epson,,43487733,T6031,B,vc=2851,2851 28511 28512 28513 28514,,marketCategoryId marketCategoryName
10311,Картридж T6032 голубой,2852,Картриджи для Epson,,43487733-43487736,T6032,B,vc=2852,2852,,marketCategoryId marketCategoryName
14784,Картридж T1701 (C13T17014A10) черный,3135,Картриджи для Epson,,CL-38,T1701,B,vc=3135,3135 3135X10 3135X2 3135X6,,marketCategoryId marketCategoryName
10025,Лента для печати наклеек PT-310,273016,Картриджи для матричных принтеров,,43381908,,C,,,,marketCategoryId marketCategoryName
10026,Лента для печати наклеек PT-320,273017,Картриджи для матричных принтеров,,43381908,,C,,,,marketCategoryId marketCategoryName
10027,Лента для печати наклеек PT-330,273018,Картриджи для матричных принтеров,,43381908,,C,,,,marketCategoryId marketCategoryName
10028,Лента для печати наклеек PT-340,273019,Картриджи для матричных принтеров,,43381908,,C,,,,marketCategoryId marketCategoryName
10666,Картридж CF452A Y (№655A),3057,Картриджи для HP,,CLT-Y508S,CF452A Y,B,vc=3057,3057,,marketCategoryId marketCategoryName
14813,Картридж 106R02608 желтый,3146,Картриджи для Xerox,,CLI-526Y,106R02608,B,offer=14813;vc=3146,3146,,marketCategoryId marketCategoryName
10036,Лента для печати наклеек PT-540,273027,Картриджи для матричных принтеров,,43381907,,C,,,,marketCategoryId marketCategoryName
20590,Картридж 052 (2199C002),3191,Картриджи для Canon,,MPC2550EY,052,B,vc=3191,3191 3191X10 3191X2 3191X6,,marketCategoryId marketCategoryName
20619,Картридж 106R03395,3202,Картриджи для Xerox,,MPC2551EC,106R03395,B,vc=3202,3202 32021 32022 32023 3202X10,,marketCategoryId marketCategoryName
10037,Лента для печати наклеек PT-550,273028,Картриджи для матричных принтеров,,43381907,,C,,,,marketCategoryId marketCategoryName
20638,Картридж CF362A (№508A) желтый,3206,Картриджи для HP,,MPC2551EY,CF362A,B,vc=3206,3206,,marketCategoryId marketCategoryName
20639,Картридж CF363A (№508A) пурпурный,3207,Картриджи для HP,,MPC2551EY,CF363A,B,vc=3207,3207,,marketCategoryId marketCategoryName
21260,Картридж №09X (C3909X),3231,Картриджи для HP,,T-4530E,C3909X,B,vc=3231,3231 3231X10 3231X2 3231X6,,marketCategoryId marketCategoryName
21278,Картридж T5431 (C13T543100) черный,3242,Картриджи для Epson,,T-4590E,T5431,B,vc=3242,3242 32421 32422 32423 3242X10,,marketCategoryId marketCategoryName
21282,Картридж T5435 (C13T543500) светло-голубой,3246,Картриджи для Epson,,MK-410,T5435,B,vc=3246,3246,,marketCategoryId marketCategoryName
2336,"Картридж CLI-451Y XL, желтый",0821,Картриджи для Canon,,,CLI-451Y,B,vc=0821,0821,,marketCategoryId marketCategoryName
2794,Картридж LBP-430,2794,Картриджи для принтера Canon,,,,D,,,,marketCategoryId marketCategoryName
2797,Картридж T для Canon,2797,Картриджи для Canon,,,,D,,,,marketCategoryId marketCategoryName
10035,Лента для печати наклеек PT-530,273026,Картриджи для матричных принтеров,,43381907,,C,,,,marketCategoryId marketCategoryName
10063,Лента для печати наклеек PT-1300,273054,Картриджи для матричных принтеров,,43381905-43381908,,C,,,,marketCategoryId marketCategoryName
10066,Лента для печати наклеек PT-1600,273057,Картриджи для матричных принтеров,,43381905-43381908,,C,,,,marketCategoryId marketCategoryName
10067,Лента для печати наклеек PT-1650,273058,Картриджи для матричных принтеров,,43381905-43381908,,C,,,,marketCategoryId marketCategoryName
10070,Лента для печати наклеек PT-1760,273061,Картриджи для матричных принтеров,,43324404,,C,,,,marketCategoryId marketCategoryName
10039,Лента для печати наклеек PT-580,273030,Картриджи для матричных принтеров,,43381907,,C,,,,marketCategoryId marketCategoryName
10040,Лента для печати наклеек PT-D600,273031,Картриджи для матричных принтеров,,43381906,,C,,,,marketCategoryId marketCategoryName
10047,Лента для печати наклеек PT-1080,273038,Картриджи для матричных принтеров,,43381906,,C,,,,marketCategoryId marketCategoryName
10042,Лента для печати наклеек PT-P750,273033,Картриджи для матричных принтеров,,43381906,,C,,,,marketCategoryId marketCategoryName
10076,Лента для печати наклеек PT-1900,273067,Картриджи для матричных принтеров,,43324404,,C,offer=10076,,,marketCategoryId marketCategoryName
10078,Лента для печати наклеек PT-1950,273069,Картриджи для матричных принтеров,,43324404,,C,offer=10078,,,marketCategoryId marketCategoryName
10281,Картридж PFI-207C голубой,2833,Картриджи для Canon,,43487735,PFI-207C,B,vc=2833,2833,,marketCategoryId marketCategoryName
10082,Лента для печати наклеек PT-2110,273073,Картриджи для матричных принтеров,,43324403,,C,offer=10082,,,marketCategoryId marketCategoryName
10083,Лента для печати наклеек PT-2200,273074,Картриджи для матричных принтеров,,43324403,,C,offer=10083,,,marketCategoryId marketCategoryName
10060,Лента для печати наклеек PT-1260,273051,Картриджи для матричных принтеров,,43381905-43381908,,C,,,,marketCategoryId marketCategoryName
10062,Лента для печати наклеек PT-1290,273053,Картриджи для матричных принтеров,,43381905-43381908,,C,,,,marketCategoryId marketCategoryName
10379,Картридж TNP-41,2891,Картриджи для Konica,,MPC3000E BK,TNP-41,B,vc=2891,2891 28911 2891X10 2891X2 2891X6,,marketCategoryId marketCategoryName
10038,Лента для печати наклеек PT-E550,273029,Картриджи для матричных принтеров,,43381907,,C,,,,marketCategoryId marketCategoryName
10093,Лента для печати наклеек PT-2470,273084,Картриджи для матричных принтеров,,43324402,,C,,,,marketCategoryId marketCategoryName
10043,Лента для печати наклеек PT-P900,273034,Картриджи для матричных принтеров,,43381906,,C,,,,marketCategoryId marketCategoryName
10403,Картридж SP-C430EM пурпурный,2897,Картриджи для Ricoh,,MPC3000E Y,SP-C430EM,B,vc=2897,2897,,marketCategoryId marketCategoryName
10064,Лента для печати наклеек PT-1400,273055,Картриджи для матричных принтеров,,43381905-43381908,,C,,,,marketCategoryId marketCategoryName
