код МС;артикул;внешний код;наименование;категория;архив;штук всего;последнее оприходование;дата
;EFRXVL7120050;DOsTWi55h9jQvBizNPdZD2;Драм-картридж БУЛАТ s-Line Xerox 013R00688 для VersaLink C7120 (Цветной, 109000 стр.), ref.;;;50.0;bulat_2026-08-17_p16;2026-08-17
;EFSMSL4300010;NOGehteNgRs7whtg1GEcS3;Тонер-картридж БУЛАТ s-Line CLT-K808S для Samsung SL-X4300 (Чёрный, 23000 стр.), старая версия чипа;;;20.0;bulat_2026-08-17_p6;2026-08-17
;EFSMSL4300020;iISxdzgwh8mXYenHDOEsu3;Тонер-картридж БУЛАТ s-Line CLT-C808S для Samsung SL-X4300 (Голубой, 20000 стр.), старая версия чипа;;;20.0;bulat_2026-08-17_p6;2026-08-17
;EFSMSL4300030;KHE34H46gt4HbSVMYfiSS3;Тонер-картридж БУЛАТ s-Line CLT-M808S для Samsung SL-X4300 (Пурпурный, 20000 стр.), старая версия чипа;;;20.0;bulat_2026-08-17_p6;2026-08-17
;EFSMSL4300040;05r-4pTjj8a7yVRIpT0za1;Тонер-картридж БУЛАТ s-Line CLT-Y808S для Samsung SL-X4300 (Жёлтый, 20000 стр.), старая версия чипа;;;20.0;bulat_2026-08-17_p6;2026-08-17
;GAEP00L100010;scLOCG48ibNgZt5mhbQrY1;Поглотитель чернил (памперс) БУЛАТ 1627961 для Epson L100, L200 (10000 стр.);;;100.0;bulat_2026-08-17_p12;2026-08-17
;GAEP00M100010;PKz5KKuYgpPDNHGwBbpM91;Поглотитель чернил (памперс) БУЛАТ 1799792, 1746399, 1584721 для Epson M100, M200, L550, L555;;;50.0;bulat_2026-08-17_p11;2026-08-17
;GAEP0L6160020;bmkJpu1XjrNcgk1ImHHXI3;Поглотитель чернил (памперс) БУЛАТ T04D100, C13T04D100 для Epson M3170, L6160, M1140, L14150;;;101.0;bulat_2026-08-17_p12;2026-08-17
;GAEPSPR290010;qjEwxobVgDZLpnE4FPY3e3;Поглотитель чернил (памперс) БУЛАТ 1469197 для Epson StylusPhoto R290, L800;;;51.0;bulat_2026-08-17_p12;2026-08-17
;GDCN0G1420010;tfiLVGxPgsONHq8k3pYGZ3;Чернила Canon GI-41PGBK, Чёрные (6000 стр., 135 мл) pigment;;;50.0;bulat_2026-08-17_p11;2026-08-17
