sku,offer_id,queries,demand,best_pos,own_orders,leader_orders,ad_spend_30d,kind,verdict
1770287314,5757,12,16,3,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5280732498,5767X6,2,15,10,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
651944847,0237,4,15,21,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451978109,02024,4,15,13,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
983886007,4542,4,14,3,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
863431965,0481,13,14,3,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5250362136,2219X2,3,13,6,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
1586846935,5495,4,13,9,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4543074575,58411,7,13,14,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5280108649,5626X2,2,12,6,0.0,1.0,0.0,бандл_vs_одиночка,снять с рекламы
863389273,0109,2,12,17,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451994911,02773,3,12,9,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
652576967,2393,3,12,13,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4489622246,12856,6,12,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
866443918,2146,8,12,5,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
930623493,1430,9,12,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527401999,56181,3,11,11,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5272584452,4830X2,2,11,5,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4543081216,64093,2,11,11,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4450874067,001820,3,11,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527378721,45429,6,11,10,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
3807936294,5519,7,11,7,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
874374244,4333,1,10,15,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4490441054,18353,2,10,12,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527379539,45427,5,10,10,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5240087003,1279X6,1,9,10,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4504236193,239327,1,9,28,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451938163,01352,2,9,15,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1691955831,55442,4,9,6,0.0,1.0,0.0,дубли_одного_товара,снять с рекламы
4527390470,53419,2,9,6,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
653379524,1032,3,9,22,0.0,2.0,0.0,дубли_одного_товара,снять с рекламы
652463361,53416,5,9,14,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
930614051,0119,7,9,3,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
864221150,0561,8,9,7,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1548617449,5439,1,8,5,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
870872460,2219,1,8,27,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4451991188,02744,2,8,24,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4493612496,21462,4,8,6,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4489625603,13231,2,8,11,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4504655602,26382,3,8,18,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
863386008,5339,5,8,9,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
906874784,0713,6,8,14,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4480826649,08662,6,8,7,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1153758352,2439,1,7,19,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
1261464561,4830,1,7,8,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4451928403,01192,3,7,5,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527378335,45421,3,7,14,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4493660701,21831,2,7,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5265966793,4433X2,2,7,10,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4450871107,001818,5,7,2,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
653390114,1323,5,7,19,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
930612784,05872,7,7,5,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451927942,01191,7,7,10,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1769492915,57733,2,6,9,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
930608914,2979,3,6,15,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4480267466,07135,3,6,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
651913959,0024,3,6,10,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4489630378,14303,5,6,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
653449260,0866,4,6,17,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
906875340,1460,6,6,6,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451991310,02518,6,6,12,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4463527164,04814,6,6,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
930617286,2371,6,6,12,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
900987382,2312,1,5,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1153755481,2388,1,5,23,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
5279513850,5544X2,1,5,4,0.0,1.0,0.0,бандл_vs_одиночка,снять с рекламы
4493619395,22335,1,5,11,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5280121327,5631X10,1,5,11,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4489623389,13122,2,5,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1220707028,5237,2,5,18,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
1897483833,5848,3,5,13,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4450894367,00252,3,5,20,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
653533496,0781,3,5,22,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4527388122,52161,3,5,9,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
652576855,1487,4,5,14,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
1153754272,2215,4,5,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
2999096121,1645,5,5,3,0.0,1.0,0.0,дубли_одного_товара,снять с рекламы
5278407951,5418X6,1,4,24,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4493509040,21352,1,4,16,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
5250365403,2219X6,1,4,6,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
5239560160,0856X6,1,4,18,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
5239560720,0856X2,1,4,20,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
874377484,4309,1,4,10,0.0,0.0,0.0,бандл_vs_одиночка,наблюдать — обе без заказов
4451926294,01091,1,4,25,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
653324823,0274,2,4,7,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
5240181081,1307X6,3,4,7,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
653324828,5341,3,4,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4480825985,079218,3,4,22,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
863387594,0060,4,4,6,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451989520,02497,4,4,8,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
4451994850,02774,4,4,4,0.0,0.0,0.0,дубли_одного_товара,наблюдать — обе без заказов
