sku,offer_id,name,card_dims,card_vol,real_vol,delta_l,suppliers,qty90,revenue90,stock,loss90
1261566126,5291,"Лента S0720670 для принтеров Dymo Label Manager 160, LM 210D, LM 280, ",65x65x20,0.085,0.131,-0.046,cactus,0,0,0,0
1261564860,5294,"Лента S0720500 для принтеров Dymo Label Manager 160, LM 210D, LM 280, ",65x65x20,0.085,0.131,-0.046,cactus,0,0,0,0
1261567292,5296,"Лента S0720560 для принтеров Dymo Label Manager 160, LM 210D, LM 280, ",65x65x20,0.085,0.131,-0.046,cactus,0,0,0,0
1261575893,5297,"Лента S0720570 для принтеров Dymo Label Manager 160, LM 210D, LM 280, ",65x65x20,0.085,0.131,-0.046,cactus,0,0,0,0
1261569627,5299,"Лента S0720930 для принтеров Dymo LM 500TS, Rhino Pro 6000",65x65x20,0.085,0.158,-0.073,cactus,0,0,0,0
1261574253,5298,Лента для печати этикеток и наклеек DS S0720920 Epson 53710 черный на ,65x65x20,0.085,0.158,-0.073,cactus,0,0,0,0
1261579634,5300,Лента S0721530 для принтеров Dymo Letra Tag 100H прозрачный,80x80x40,0.256,0.131,0.125,cactus,0,0,0,0
1261569994,5301,Лента для печати этикеток и наклеек DS S0721660 Epson 91201 белый совм,80x80x40,0.256,0.131,0.125,cactus,0,0,0,0
1261575532,5303,Лента для печати этикеток и наклеек DS S0721640 Epson 91204 зеленый со,80x80x40,0.256,0.131,0.125,cactus,0,0,0,0
1261606204,5307,"Тонер TL-5120X для принтеров и BP5100DN, BP5100DW черный",70x70x220,1.078,1.728,-0.65,sakura,0,0,0,0
1261578989,5304,Лента S0721650 для принтеров Dymo Letra Tag 100H синий,80x80x40,0.256,0.131,0.125,cactus,0,0,0,0
1277712086,4653,Картридж с термотрансферной лентой DS M21-1500427 Brady черный на бело,130x40x60,0.312,0.24,0.072,cactus,0,0,0,0
1277712290,4658,"Картридж M21-500595WT для принтеров Brady BMP 21-LAB, BMP 21-PLUS",130x40x60,0.312,0.24,0.072,cactus,0,0,0,0
1277712105,4706,"Картридж №982X для принтеров HP и PageWide Color 765, PW Color 780 чер",232x88x135,2.756,2.688,0.068,cactus,0,0,0,0
1277712334,4768,Картридж DS M21-375595WT с термотрансферной виниловой лентой Brady чер,130x40x60,0.312,0.24,0.072,cactus,0,0,0,0
1277712393,4769,Картридж DS M21-750427 с термотрансферной самоламинирующейся виниловой,130x40x60,0.312,0.24,0.072,cactus,0,0,0,0
1277712293,4655,Картридж с термотрансферной лентой DS M21-375499 Brady черный на белом,130x40x60,0.312,0.24,0.072,cactus,0,0,0,0
1277712332,4710,"Картриджи №982X для принтеров HP и PageWide Color 765, PW Color 780",254x295x135,10.116,,,,0,0,0,0
1277712301,4771,Картридж DS M21-750595WT с термотрансферной виниловой лентой Brady чер,130x40x60,0.312,0.24,0.072,cactus,0,0,0,0
1277712359,4797,Картридж TK-8375C для принтеров Kyocera TASKalfa 3554 голубой,355x96x149,5.078,4.757,0.321,cactus,0,0,0,0
1277712516,4799,Картридж TK-8375M для принтеров Kyocera TASKalfa 3554 пурпурный,355x96x149,5.078,4.757,0.321,cactus,0,0,0,0
1277712477,4798,Картридж TK-8375K для принтеров Kyocera TASKalfa 3554 черный,355x96x149,5.078,4.757,0.321,cactus,0,0,0,0
1277712202,4800,Картридж TK-8375Y для принтеров Kyocera TASKalfa 3554 желтый,355x96x149,5.078,4.757,0.321,cactus,0,0,0,0
1277712131,4801,Картриджи TK-8375 для принтеров Kyocera TASKalfa 3554,160x160x620,15.872,,,,0,0,0,0
1277712415,4862,"Лента C53S657006 для принтеров Epson LabelWorks 1000P, LW-900, LW Z700",175x47x73,0.6,,,,0,0,0,0
1277712735,5260,Картридж 106R01318 для принтеров Xerox и WorkCentre 6400 пурпурный,470x140x150,9.87,,,,0,0,0,0
1277712435,5250,"Фотобарабан DK-320 для принтеров Kyocera FS-2020, FS 3040, FS3140, FS-",430x200x170,14.62,,,,0,0,0,0
1282816798,5305,"Тонер MLT-D111L для принтеров Samsung и SL-M2020, SL M2021, SLM2024, S",70x70x220,1.078,,,,0,0,0,0
1282800617,5292,"Тонер TK-1200 для принтеров Kyocera и EcoSys M2235, M2735dn, M2835, P2",70x70x200,0.98,,,,0,0,0,0
1277712760,5258,Картридж 106R01316 для принтеров Xerox и WorkCentre 6400 черный,470x140x150,9.87,,,,0,0,0,0
1282799102,5306,Тонер SCX-4200 для принтеров Samsung и SCX-4200 черный,70x70x220,1.078,,,,0,0,0,0
1300722047,4804,"Картридж 842283 для принтеров Ricoh IM C4500, IM C5500 черный",570x90x90,4.617,3.96,0.657,cactus;изи,0,0,0,0
1300721900,4663,Картридж с термотрансферной лентой DS M21-750595YL Brady черный на жел,130x40x60,0.312,0.24,0.072,cactus,0,0,0,0
1300722080,4806,"Картридж 842285 для принтеров Ricoh IM C4500, IM C5500 пурпурный",560x90x90,4.536,3.96,0.576,cactus;изи,0,0,0,0
1300722249,4805,"Картридж 842286 для принтеров Ricoh IM C4500, IM C5500 голубой",560x90x90,4.536,3.96,0.576,cactus;изи,0,0,0,0
1300721000,4807,"Картридж 842284 для принтеров Ricoh IM C4500, IM C5500 желтый",560x90x90,4.536,3.96,0.576,cactus;изи,0,0,0,0
1317769987,4808,"Картриджи 842283 - 842286 для принтеров Ricoh IM C4500, IM C5500",560x180x180,18.144,,,,0,0,0,0
1314409368,4673,Картридж T02Q1 для принтеров Epson WorkForce Enterprise C20600D4TW чер,80x100x150,1.2,,,,0,0,0,0
1314409189,4674,Картридж T02Q2 для принтеров Epson WorkForce Enterprise C20600D4TW гол,80x100x150,1.2,,,,0,0,0,0
1314408931,4676,Картридж T02Q4 для принтеров Epson WorkForce Enterprise C20600D4TW жел,80x100x150,1.2,,,,0,0,0,0
1314409157,4677,Картриджи C13T02Q100 - C13T02Q400 для принтеров Epson WorkForce Enterp,240x100x150,3.6,,,,0,0,0,0
1314409164,4675,Картридж T02Q3 для принтеров Epson WorkForce Enterprise C20600D4TW пур,80x100x150,1.2,,,,0,0,0,0
1327663959,4725,"Фотобарабан 013R00675 DU для принтеров Xerox AltaLink B8045, B8055, WC",160x220x500,17.6,,,,0,0,0,0
1337645480,5342,"Картридж Q2624X для принтеров HP LaserJet 1150, LJ 1150N черный",348x126x163,7.147,6.021,1.126,rapid,0,0,0,0
1339737811,5343,Картридж ML-1520 для принтеров Samsung и ML-1510 черный,360x215x115,8.901,6.197,2.704,cactus;sakura,0,0,0,0
1341113616,5351,"Картридж 725 для принтеров Canon i-SENSYS MF3010, F-158200, LBP6000, L",360x145x196,10.231,6.784,3.447,cactus;rapid;sakura;изи,0,0,0,0
1339738091,5359,"Картридж CB435X для принтеров HP LaserJet P1005, LJ-P1006, LJP1007, LJ",348x126x163,7.147,,,,0,0,0,0
1340723402,5361,"Картридж 729 для принтеров Canon и i-SENSYS LBP7010C, LBP7018C голубой",360x215x115,8.901,1.716,7.185,cactus;sakura,0,0,0,0
1340720562,5363,"Картридж 729 для принтеров Canon и i-SENSYS LBP7010C, LBP7018C желтый",360x215x115,8.901,3.3,5.601,cactus;sakura,0,0,0,0
1339739383,5364,"Картриджи 729 для принтеров Canon i-SENSYS LBP7010C, LBP7018C",360x340x280,34.272,,,,16,74117,0,0
1339739137,5362,"Картридж 729 для принтеров Canon и i-SENSYS LBP7010C, LBP7018C пурпурн",360x215x115,8.901,1.716,7.185,cactus;sakura,0,0,0,0
1341428709,4556,"Лента LK3YBP для принтеров Epson LabelWorks 1000P, LW 400, LW 600P, LW",102x68x27,0.187,,,,0,0,0,0
1341427985,4554,Картридж DS LK2WBN Epson C53S652003 черный на белом совместимый,102x68x27,0.187,,,,0,0,0,0
1341430114,4555,"Лента LK3RBP для принтеров Epson LabelWorks 1000P, LW 400, LW 600P, LW",152x91x378,5.228,,,,0,0,0,0
1341429588,4559,"Лента LK4RBP для принтеров Epson LabelWorks 1000P, LW 400, LW 600P, LW",30x78x68,0.159,,,,0,0,0,0
1414027994,4541,"Картриджи 123 для принтеров HP DeskJet 1110, DeskJet 2130, OfficeJet 3",106x74x228,1.788,,,,0,0,0,0
1425329860,4557,"Лента LK3WBN для принтеров Epson LabelWorks 1000P, LW 400, LW 600P, LW",102x68x27,0.187,,,,0,0,0,0
1425329946,4560,"Лента LK4YBP для принтеров Epson LabelWorks 1000P, LW 400, LW 600P, LW",115x112x182,2.344,,,,0,0,0,0
1432017439,4599,"Лента C13S015307BA для принтеров Epson LQ-610K, LQ 610KII, LQ615K, LQ-",300x89x39,1.041,,,,0,0,0,0
1434676978,4895,"Картридж 56F5H00 для принтеров Lexmark LaserPrinter MS321, LP MS421, L",134x312x116,4.85,7.09,-2.24,rapid;sakura,0,0,0,0
1432017772,4894,Картридж 54G0H00 для принтеров Lexmark LaserPrinter MS911 черный,500x90x80,3.6,,,,2,80608,0,0
1434681877,4897,"Картридж 56F5X0E для принтеров Lexmark LaserPrinter MS421, LP MS521, L",134x312x116,4.85,,,,0,0,0,0
1434695503,4898,"Картридж 71B5HC0 для принтеров Lexmark LaserPrinter CS417, LP CS517, L",141x72x102,1.036,1.226,-0.19,sakura,0,0,0,0
1454441839,4896,"Картридж 56F5U0E для принтеров Lexmark LaserPrinter MS521, LP MS621, L",134x312x116,4.85,9.072,-4.222,cactus;sakura,0,0,0,0
1434663044,4899,"Картридж 71B5HK0 для принтеров Lexmark и LaserPrinter CS417, LP CS517,",141x72x102,1.036,1.256,-0.22,sakura,0,0,0,0
