article;cards_in_group;distinct_external_codes;code;external_code;name;buy_price_rub;ms_id
CLI-42 BK/6384B001;2;2;3590sf;3590;Картридж CLI-42BK Canon;18.0;9ab16d6a-6f0b-11e8-9109-f8fc0034bd37
CLI-42 BK/6384B001;2;2;;PrIgKHURgc-NCddYs9NRA2;К-ж CANON CLI-42BK  черный  для PIXMA PRO-100;18.0;a315fa30-3530-11eb-0a80-06530015b8d9
CLI-8C/0621B024;2;2;0136sf;0136;Картридж CLI-8 C Canon;24.4;d129f30f-cab1-11e7-6b01-4b1d0017c5aa
CLI-8C/0621B024;2;2;;yyJ8vodNjUzGVe5Mk7s7O1;К-ж CANON CLI-8C cyan (МФУ Pixma MP500/800, Pixma  IP6600,5200,4200);20.2;a3578ebc-3530-11eb-0a80-06530015b999
CLI-8C/M/Y/0621B029;2;2;;4oyuofQoiTGYj-lz1wtv51;Набор картриджей CLI-8 C/M/Y мульти-упаковка OR;25.8;3634c57f-0c65-11eb-0a80-01270023886d
CLI-8C/M/Y/0621B029;2;2;;bUs4jVZthFoZ5-dngPWxA3;К-ж CANON CLI-8 C/M/Y мульти-упаковка 0621B029;29.25;a35553e8-3530-11eb-0a80-06530015b991
CLP-C600A;2;2;0691;0691;Картридж CLP-C600A;52.4299;cefc7b03-e4de-11e3-4015-002590a28eca
CLP-C600A;2;2;;Qz-KsXV6iW1ggEcbNK2RF3;К-ж Samsung CLP-600-серия голубой CLP-C600A;52.4299;9b051ba4-3530-11eb-0a80-065300159b89
CLP-K600A;2;2;0690;0690;Картридж CLP-K600A;61.7193;8615c9f6-e4dc-11e3-a68b-002590a28eca
CLP-K600A;2;2;;RqFdS79Qhj6jXIGS8rrJ80;К-ж Samsung CLP-600-серия черный CLP-K600A;61.7193;9b0813a0-3530-11eb-0a80-065300159b95
CLP-M600A;2;2;0692;0692;Картридж CLP-M600A;83.3415;adf08662-e4de-11e3-88a5-002590a28eca
CLP-M600A;2;2;;15kWhjHBiNPl6WqiQQ4nL2;К-ж Samsung CLP-600-серия пурпурный CLP-M600A;83.3415;9b072700-3530-11eb-0a80-065300159b91
CLP-Y600A;2;2;0693;0693;Картридж CLP-Y600A;50.597;fab30c7f-e4de-11e3-1e6a-002590a28eca
CLP-Y600A;2;2;;6pc4TagegDup0LqNiyh771;К-ж Samsung CLP-600-серия желтый CLP-Y600A;50.597;9b06302c-3530-11eb-0a80-065300159b8d
CLT-C404S/XEV;2;2;1327-or;B0uLMoxXg3p3mVYYT006a1;К-ж SAMSUNG-hp CLT-404-серия синий для SL-C430/C430W/C480/C480W/C480FW, S-print by HP (ST974A);36.7236;9b3bfd83-3530-11eb-0a80-065300159c71
CLT-C404S/XEV;2;2;;x3Pn5CKegy5B23mQ8g7KT2;К-ж Samsung CLT-404-серия голубой для SL-C430/C430W/C480/C480W/C480FW оригинал CLT-C404S;36.7236;9b1fe4f4-3530-11eb-0a80-065300159bf9
CLT-C406S/SEE;2;2;;D6VyVt4jjVkbAAQ1sI8V23;К-ж Samsung CLT-406-серия голубой для CLP-360/365/368/CLX-3300/3305  оригинал CLT-C406S;30.093;9b23d49a-3530-11eb-0a80-065300159c09
CLT-C406S/SEE;2;2;;P3X5APp0gxkaZwaENeeMx0;К-ж Samsung-hp CLT-C406S/SEE  CLP-360/365/368/CLX-3300/05 1.0K Cyan S-print by HP (ST986A);40.4976;9b3f7276-3530-11eb-0a80-065300159c81
CLT-C506L/SEE;2;2;;llPwLXEEhGxIeUYVGIu0X3;К-ж SAMSUNG-hp CLT-C506L/SEE синий для CLP-680/CLX-6260 3.5K Cyan S-print by HP (SU040A);64.5213;9b414158-3530-11eb-0a80-065300159c89
CLT-C506L/SEE;2;2;;mcrDYGTNjqlv7-ZWbBGQn0;К-ж Samsung CLP-680-серия увеличенный голубой CLT-C506L;64.5213;9b1c4b74-3530-11eb-0a80-065300159be9
CLT-K404S/XEV;2;2;1328-or;0-rkvQsbgkKSiLtGXBpKk0;К-ж SAMSUNG-hp CLT-404-серия черный для SL-C430/C430W/C480/C480W/C480FW, S-print by HP (SU108A);47.4347;9b3cd089-3530-11eb-0a80-065300159c75
CLT-K404S/XEV;2;2;;5KVH0WHwgFoxqgRf3TLv11;К-ж Samsung CLT-404-серия черный для SL-C430/C430W/C480/C480W/C480FW оригинал CLT-K404S;47.4347;9b22d3e2-3530-11eb-0a80-065300159c05
CLT-K406S/SEE;2;2;;3qmsxE4Ri50U0OtQq56Xr2;К-ж Samsung CLT-406-серия черный для CLP-360/365/368/CLX-3300/3305  оригинал CLT-K406S;40.804;9b26aead-3530-11eb-0a80-065300159c15
