класс;код;внешний код;наименование;лежит;по ТК должно быть
ДРУГОЙ БРЕНД;0318cs;0318;Картридж струйный G&G GG-C4912A № 82 пурпурный (72мл) для HP DJ 500/800C;Картриджи/Картриджи G&G;Картриджи/Картриджи HP/струйные hp
ДРУГОЙ БРЕНД;0319cs;0319;Картридж струйный G&G GG-C4913A № 82 желтый (72мл) для HP DJ 500/800C;Картриджи/Картриджи G&G;Картриджи/Картриджи HP/струйные hp
ДРУГОЙ БРЕНД;0320cs;0320;Картридж струйный G&G GG-C565A черный (72мл) для HP DJ 510;Картриджи/Картриджи G&G;Картриджи/Картриджи HP/струйные hp
ДРУГОЙ БРЕНД;0325cs;0325;Картридж струйный G&G GG-CD975AE черный (56.6мл) для HP Officejet 6000/6500/6500A/7000/7500A;Картриджи/Картриджи G&G;Картриджи/Картриджи HP/струйные hp
ДРУГОЙ БРЕНД;0326cs;0326;Картридж струйный G&G GG-CD972AE голубой (14.6мл) для HP Officejet 6000/6500/6500A/7000/7500A;Картриджи/Картриджи G&G;Картриджи/Картриджи HP/струйные hp
ДРУГОЙ БРЕНД;0327cs;0327;Картридж струйный G&G GG-CD973AE пурпурный (14.6мл) для HP Officejet 6000/6500/6500A/7000/7500A;Картриджи/Картриджи G&G;Картриджи/Картриджи HP/струйные hp
ДРУГОЙ БРЕНД;0346cs;0346;Картридж лазерный G&G GG-CE400A черный (5500стр.) для HP LJ Enterprise 500 M551n/MFP M575dn/MFP M570dn;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0348cs;0348;Картридж лазерный G&G GG-CE401A голубой (6000стр.) для HP LJ Enterprise 500 M551n/MFP M575dn/MFP M570dn;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0349cs;0349;Картридж лазерный G&G GG-CE402A желтый (6000стр.) для HP LJ Enterprise 500 M551n/MFP M575dn/MFP M570dn;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0350cs;0350;Картридж лазерный G&G GG-CE403A пурпурный (6000стр.) для HP LJ Enterprise 500 M551n/MFP M575dn/MFP M570dn;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0376pl;0376;Драм-картридж DR-2175 Drum 12000 копий ProfiLine;Картриджи/Картриджи Kyocera Mita;Картриджи/Картриджи Brother
ДРУГОЙ БРЕНД;0379cs;0379;Картридж лазерный G&G GG-C9730A C9730A черный (13000стр.) для HP CLJ 5500/5500n/5500dn/5500hdn/5500dtn/5550/5550n/5550dtn/5550hdn;Картриджи/Картриджи G&G;Картриджи/Картриджи HP
ДРУГОЙ БРЕНД;0380cs;0380;Картридж струйный G&G GG-CD974AE желтый (14.6мл) для HP Officejet 6000/6500/6500A/7000/7500A;Картриджи/Картриджи G&G;Картриджи/Картриджи HP/струйные hp
