offer_id,name,queries,demand,best_pos,mg,in_camp,in_ramp
05252,Картридж для Panasonic KX-FL502,2,85,19,26.47,True,False
0525,"Картридж KX-FA76A для принтеров Panasonic KX-FL501, KX FL502, KXFL503RU черный",2,84,15,26.45,True,False
052512,Картридж для Panasonic KX-FLB756,1,83,16,26.45,True,False
05258,Картридж для Panasonic KX-B756,1,83,30,26.47,True,False
15257,Тонер-картридж для Canon iR-C3080,1,81,15,33.04,True,False
15258,Тонер-картридж для Canon iR-C3080i,1,81,14,33.02,True,False
04306,Картридж для HP DeskJet 840,4,78,12,35.35,True,False
2279,"Картриджи 006R01461-006R01464 для принтеров Xerox WorkCentre 7120, WC-7125, WC 7220, WC7225",4,77,12,27.85,True,True
1922X10,"Комплект картриджей T6361 (10 шт.) на 3500мл. для принтеров Epson Stylus Pro 7700, Stylus Pro 7890",4,76,12,56.01,False,False
6706,Фотобарабан + картридж KX-FAD89A DU+KX-FAT88A черный,3,76,14,35.22,True,False
0231,"Фотобарабан KX-FAD89A DU для принтеров Panasonic KX-FL401, KX FL402, KXFL403 черный",1,74,18,35.71,True,False
5190,"Картридж T-2309E для принтеров Toshiba e-Studio 2309A, e-Studio 2809A черный",9,74,11,34.16,True,True
3237X10,"Комплект картриджей T9081 (10 шт.) на 50000 страниц для принтеров Epson WorkForce Pro 6090, WF Pro 6590",2,74,11,56.17,False,False
0112,"Картридж TN-3170 для принтеров Brother DCP-8060, DCP 8065DN, HL-5240, HL-5250DN, HL 5270DN, MFC-8460N, MFC 8860DN черный",2,70,11,35.65,True,True
37652,Фотобарабан для Brother HL-L2370,1,70,24,34.88,True,False
6364,"Картридж PC-110 для принтеров P1000, P2000, P2050, P5000 черный",5,70,20,35.42,True,False
0521X2,"Комплект картриджей 42918916 (2 шт.) на 30000 страниц для принтеров OKI C9600, C9800",1,67,13,45.32,False,False
05684,Картридж для Brother MFC-9600,3,64,12,35.16,True,False
0527,"Фотобарабан KX-FA84A DU для принтеров Panasonic KX-FL511, KX FL512, KXFLM663RU, KX-M513RU, KXM543RU, KX M563RU черный",4,63,12,35.06,True,False
57543,Тонер-картридж для Bulat WT2K,7,63,12,33.75,True,False
6691,"Фотобарабан + картридж KX-FAD412A DU+KX-FAT411A для принтеров Panasonic KX-MB1900, KX MB2000, KXMB2001, KX-MB2010, KX MB2020 черный",3,62,15,34.92,True,False
0202X10,"Комплект картриджей 122XL (10 шт.) на 4800 страниц для принтеров HP DeskJet 1000 - J110a, DeskJet 1010, Officejet 2620, Officejet 2621",9,61,11,55.97,False,False
3361X10,"Комплект картриджей №907XL (10 шт.) на 15000 страниц для принтеров HP OfficeJet 6950, OfficeJet Pro 6960",4,61,15,56.14,False,False
6722,Фотобарабан + картридж KX-FA84A DU+KX-FA83A черный,2,61,22,34.09,True,False
