account,sku,offer_id,name,campaign,bid_now,bid_new,ceiling,margin_pct,qty_90d,revenue_90d
oz_acc1,1153807642,3108,"Картриджи CLT-506L для принтеров Samsung CLP-680ND, CLX-6260",от 10000 до 500 тыс,12.0,36,364.2,25.8,1,17907
oz_acc1,1153807642,3108,"Картриджи CLT-506L для принтеров Samsung CLP-680ND, CLX-6260",Эксперимент1,8.0,24,364.2,25.8,1,17907
oz_acc1,1153726407,1996,Фотобарабан DR-311K DU для принтеров Konica Minolta Bizhub C,от 5000 до 10000,12.0,36,230.8,28.4,2,17761
oz_acc1,2497455824,5946,"Картридж C-EXV65 Y для принтеров Canon imageRUNNER C3326, iR",Эксперимент1,10.0,30,170.0,64.4,3,17756
oz_acc1,4493612496,21462,Картридж для Ricoh SP 4510SF,Эксперимент1,8.0,24,80.1,30.9,6,17732
oz_acc1,874377206,4323,"Картридж T6935 для принтеров Epson SureColor SC-SC-T7200, SC",Эксперимент1,8.0,24,327.7,27.6,1,17370
oz_acc2,1916292590,5436MMK2RF9L,"Картридж DS 006R01830 для принтеров Xerox VersaLink C7120, V",Все,8.0,18,50.0,27.3,2,17368
oz_acc1,930626294,1717,"Картридж TK-865Y для принтеров Kyocera TASKalfa 250ci, TASKa",Эксперимент1,8.0,24,141.4,27.3,1,17346
oz_acc1,930626347,1716,"Картридж TK-865M для принтеров Kyocera TASKalfa 250ci, TASKa",от 2000 до 5000,12.0,36,402.7,27.3,1,17346
oz_acc2,1883352399,1934XN0VWVQI,"Картридж DS T6942 для принтеров Epson SureColor SC-SC-T7200,",Все,8.0,24,349.4,25.3,1,17338
oz_acc2,1883362122,1935CMPHKA5J,"Картридж DS T6943 для принтеров Epson SureColor SC-SC-T7200,",Все,8.0,24,349.4,25.3,1,17338
oz_acc1,653348663,0619,"Фотобарабан 113R00670 DU для принтеров Xerox Phaser 5500, Ph",от 10000 до 500 тыс,12.0,36,366.2,27.3,1,17329
oz_acc1,1134976622,4971,Картриджи CLI-42 для принтеров Canon Pixma PRO-100 набор cmy,от 5000 до 10000,13.0,28,81.3,31.8,3,17294
