nm_id;vendor_code;price_2508;price_0709;margin_2508;margin_0709;discount_pct;net_per_unit;qty_sep;qty_aug;revenue_sep;loss_sep;snaps;neg_snaps;in_ads;cpc
883412936;23127XP2MA27;2296.0;2093.0;20.29;-3.18;70.0;-78.96;0;0;0;0.0;14;1;0;
883411569;23126CHO27SI;2296.0;2093.0;20.29;-3.18;70.0;-78.96;0;0;0;0.0;14;1;0;
883410443;23125W95DJXY;2296.0;2093.0;20.29;-3.18;70.0;-78.96;0;0;0;0.0;14;1;0;
883402744;23124MRKR20X;2296.0;2093.0;20.29;-3.18;70.0;-78.96;0;0;0;0.0;14;1;0;
883401738;23123K6JAAKQ;2296.0;2093.0;20.29;-3.18;70.0;-78.96;0;0;0;0.0;14;1;0;
883400485;23121E3Q37MQ;2296.0;2093.0;20.29;-3.18;70.0;-78.96;0;0;0;0.0;14;1;0;
323241699;2762WT7NTE6L;1780.0;1735.0;-1.53;-3.83;62.0;-78.95;0;0;0;0.0;14;12;0;
323241661;2763CRTDY6YS;1780.0;1735.0;-1.53;-3.83;62.0;-78.95;0;0;0;0.0;14;12;0;
323241754;2761HN4UDUZ8;1780.0;1735.0;-1.53;-3.83;62.0;-78.95;0;0;0;0.0;14;12;0;
323203240;0808CF54QCM7;1822.0;1499.0;7.81;-4.54;63.0;-78.94;0;0;0;0.0;14;1;1;10.9
323201524;0810T9SHCIY4;1733.0;1499.0;6.09;-4.54;63.0;-78.94;0;0;0;0.0;14;2;0;
324987730;3456TRNM9R5E;1443.0;1335.0;-4.28;-5.06;63.0;-78.4;0;0;0;0.0;14;12;0;
323193521;3457O15HEB9R;1443.0;1335.0;-4.28;-5.06;63.0;-78.4;0;0;0;0.0;14;12;0;
874787981;33681E1J9GPK;1051.0;1111.0;-2.48;-6.21;61.0;-78.3;0;0;0;0.0;14;3;0;
874798947;33682LEJMPU3;1051.0;1111.0;-2.48;-6.21;61.0;-78.3;0;0;0;0.0;14;3;0;
923536138;6611UOVM4RAB;2103.0;2137.0;-4.81;-3.07;57.0;-77.84;0;0;0;0.0;14;3;0;
865209289;26722QD2BX12;1481.0;1437.0;-6.12;-4.62;62.0;-77.02;0;0;0;0.0;14;3;0;
865208151;26721RMGTZVS;1481.0;1437.0;-6.12;-4.62;62.0;-77.02;0;0;0;0.0;14;3;0;
865211319;26723ANQJGNV;1481.0;1437.0;-6.12;-4.62;62.0;-77.02;0;0;0;0.0;14;3;0;
865213055;26724UDWW615;1481.0;1437.0;-6.12;-4.62;62.0;-77.02;0;0;0;0.0;14;3;0;
323199990;2966F74ZZQWE;1779.0;1036.0;19.97;-6.53;58.0;-76.74;0;0;0;0.0;14;1;0;
323245215;2721IM5J1XXE;2178.0;2051.0;1.85;-3.14;63.0;-76.39;0;0;0;0.0;14;2;0;
878944512;06601JL6X7F0;865.0;1016.0;-10.21;-6.62;57.0;-76.3;0;0;0;0.0;14;2;0;
324979990;1178QGMA6ZP4;7548.0;3967.0;30.4;-1.6;61.0;-75.29;0;0;0;0.0;14;1;0;
323194338;4206OCZXBXGF;1064.0;1303.0;-4.61;-5.09;59.0;-75.18;0;2;0;0.0;13;4;0;
343239798;5796Z6I52MAJ;10932.0;15550.0;-26.32;-0.37;58.0;-74.92;0;0;0;0.0;14;10;0;
324989443;3700HF3MQWQ7;964.0;1110.0;2.08;-5.93;68.0;-74.66;0;0;0;0.0;14;2;0;
881268866;12933OID2ZXU;951.0;1043.0;-5.22;-6.3;58.0;-74.56;0;0;0;0.0;14;12;0;
323285821;3654C8CBX0W4;2420.0;2372.0;0.72;-2.57;63.0;-72.46;0;0;0;0.0;14;2;0;
865236929;29541I4KVI5S;1679.0;1029.0;18.1;-6.15;57.0;-71.74;0;0;0;0.0;14;1;0;
323247041;2168RFZ6396T;1797.0;990.0;22.13;-6.38;57.0;-71.65;0;0;0;0.0;14;1;0;
323194121;3466E1G41HVE;974.0;1132.0;-8.19;-5.58;61.0;-71.61;0;0;0;0.0;14;12;0;
883217858;21351L4TYT8K;951.0;1079.0;-5.91;-5.76;59.0;-70.5;0;0;0;0.0;14;8;0;
883225500;21354VW6OWYZ;951.0;1079.0;-5.91;-5.76;59.0;-70.5;0;0;0;0.0;14;8;0;
