тир;подтверждение;кабинет;артикул;nmID;тип;тек_ВБ_ДхШхВ;тек_объём_л;нов_ДхШхВ;нов_объём_л;занижение_раз;дельта_л;источник;название
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7096;1283564403;мать;7x7x20;0.98;31.5x9.8x9.5;2.93;2.99;1.95;cactus(согл.2);Тонер CF218A для HP LJ M133, LJ Pro M103 черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;7096RYR4H4I0;1283564939;ребёнок;7x7x20;0.98;31.5x9.8x9.5;2.93;2.99;1.95;cactus(согл.2);Тонер DS CF218A для HP LJ M133, LJ Pro M103 черный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;6318;850501071;мать;8x10x35;2.8;58.9x11.5x11.5;7.79;2.78;4.99;веб-оригинал;Картридж W9220MC для HP Color LJ E78223 черный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;6318UBM37DO3;485058490;ребёнок;8x10x35;2.8;58.9x11.5x11.5;7.79;2.78;4.99;наследование от 6318 (веб-оригинал);Картридж DS W9220MC для HP Color LJ E78223 черный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;63181RW5HI4C;913056643;ребёнок;8x10x35;2.8;58.9x11.5x11.5;7.79;2.78;4.99;наследование от 6318 (веб-оригинал);Тонер-картридж для HP Color LJ E78223 25000 страниц
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;3998;209729750;мать;10x10x8;0.8;11.43x5.588x32.004;2.04;2.56;1.24;веб-оригинал;Картридж №81 для HP DJ 5000, DJ 5500 голубой
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;3998RRAWWBMI;323223264;ребёнок;10x10x8;0.8;11.43x5.588x32.004;2.04;2.56;1.24;наследование от 3998 (веб-оригинал);Картридж DS №81 для HP DJ 5000, DJ 5500 голубой
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;3999;209729751;мать;10x10x8;0.8;11.4x5.6x32;2.04;2.55;1.24;веб-оригинал;Картридж №81 для HP DJ 5000, DJ 5500 пурпурный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;3999Z0LOXVYY;323223345;ребёнок;10x10x8;0.8;11.4x5.6x32;2.04;2.55;1.24;наследование от 3999 (веб-оригинал);Картридж DS №81 для HP DJ 5000, DJ 5500 пурпурный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;4002;209729754;мать;10x10x8;0.8;11.4x5.6x32;2.04;2.55;1.24;веб-оригинал;Картридж №81 для HP DJ 5000, DJ 5500 светло-голубой
