класс;объём_л;ДхШхВ;nmID;артикул;тип;источник;ссылка/файл
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;324992459;5159RYB207FT;ребёнок;наследование от 5159 (поставщик);rapid|BM5100FDW
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;257941144;5158;мать;поставщик;rapid|BM5100FDW
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;324992444;5158ERHTUSN4;ребёнок;наследование от 5158 (поставщик);rapid|BM5100FDW
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;209751745;5157;мать;поставщик;rapid|BM5100FDW
>60 л — почти наверняка мастер-короб;63.7;41.5x37.0x41.5;324992407;5157BFWG9CUT;ребёнок;наследование от 5157 (поставщик);rapid|BM5100FDW
>60 л — почти наверняка мастер-короб;63.6;34.0x55.0x34.0;322427899;5822;мать;наш-озон;ozon_dims|offer_id=5822
>60 л — почти наверняка мастер-короб;63.6;34.0x55.0x34.0;915949007;58221FJDESSY;ребёнок;наследование от 5822 (наш-озон);ozon_dims|offer_id=5822
>60 л — почти наверняка мастер-короб;63.6;34.0x55.0x34.0;343240134;5822H1Y6MTZM;ребёнок;наследование от 5822 (наш-озон);ozon_dims|offer_id=5822
>60 л — почти наверняка мастер-короб;63.5;29.6x53.6x40.0;192567561;0353;набор;набор:согласовано;"компоненты:CB400A=40x26.8x14.8(rapid(согл.2)); CB401A=40x26.8x14.8(rapid(согл.2)); CB402A=40x26.8x14.8(rapid(согл.2)); C"
>60 л — почти наверняка мастер-короб;63.5;29.6x53.6x40.0;192567643;0357;набор;набор:согласовано;"компоненты:Q5950A=40x26.8x14.8(rapid(согл.2)); Q5951A=40x26.8x14.8(rapid(согл.2)); Q5952A=40x26.8x14.8(rapid(согл.2)); Q"
>60 л — почти наверняка мастер-короб;63.5;48.0x25.9x51.1;531538004;6518;набор;набор:согласовано;"компоненты:013R00577=25.9x51.1x24(solutionsprint); 006R01044=25.9x51.1x24(solutionsprint)"
>60 л — почти наверняка мастер-короб;63.5;48.0x25.9x51.1;501677136;6518W3BYSAB3;набор;набор:согласовано;"компоненты:013R00577=25.9x51.1x24(solutionsprint); 006R01044=25.9x51.1x24(solutionsprint)"
>60 л — почти наверняка мастер-короб;63.5;29.6x53.6x40.0;323207618;0357HVMTWVVB;набор;набор:согласовано;"компоненты:Q5950A=40x26.8x14.8(rapid(согл.2)); Q5951A=40x26.8x14.8(rapid(согл.2)); Q5952A=40x26.8x14.8(rapid(согл.2)); Q"
>60 л — почти наверняка мастер-короб;63.5;29.6x53.6x40.0;323216437;0353ICO8UJE5;набор;набор:согласовано;"компоненты:CB400A=40x26.8x14.8(rapid(согл.2)); CB401A=40x26.8x14.8(rapid(согл.2)); CB402A=40x26.8x14.8(rapid(согл.2)); C"
>60 л — почти наверняка мастер-короб;62.7;33.0x48.0x39.6;192567101;2181;набор;набор:согласовано;"компоненты:040HM=24x39.6x16.5(cactus); 040HC=24x39.6x16.5(cactus); 040HBK=24x39.6x16.5(cactus); 040HY=24x39.6x16.5(cactu"
