snapshot_date,campaign_id,campaign_title,sku,offer_id,name,bid,ad_spend_window,ad_clicks,rev90
2026-08-18,13424726,Все,1885389431,4299R94XG2MH,"Картридж DS W9101MC для принтеров HP Color LaserJet E77422, LJ E77428 голубой",8.0,6.8,1.0,0.0
2026-08-18,13424726,Все,1885389434,1579SE1TUK5V,Картридж DS C8553A для принтеров HP Color LaserJet 9500 пурпурный,8.0,6.48,1.0,0.0
2026-08-18,13424726,Все,1885389520,4300DUOW5SLU,"Картридж DS W9102MC для принтеров HP Color LaserJet E77422, LJ E77428 желтый",8.0,7.21,1.0,0.0
2026-08-18,13424726,Все,1885389925,3785GPW4LVRR,"Картридж DS W2122A для принтеров HP Color LJ M554 dn, LJ M555 dn желтый",8.0,10.47,1.0,0.0
2026-08-18,13424726,Все,1885390111,1379F4P7A2XG,"Картридж DS CF228X для принтеров HP LaserJet Pro M403d, LJ Pro M403dn черный",8.0,7.27,1.0,0.0
2026-08-18,13424726,Все,1885390201,4830Q4ERC9CS,"Фотобарабан DS W1104A для принтеров HP Neverstop 1200 a, 1000a черный",8.0,7.05,1.0,0.0
2026-08-18,13425039,5000-10000,1885390477,4533HZ99HQ37,"Картридж DS №981 для принтеров HP PageWide Color 556, PW Color MFP 586 dn голубой",12.0,12.83,1.0,0.0
2026-08-18,13424726,Все,1885390477,4533HZ99HQ37,"Картридж DS №981 для принтеров HP PageWide Color 556, PW Color MFP 586 dn голубой",8.0,12.83,1.0,0.0
2026-08-18,13424726,Все,1885390665,3085SASNI09S,"Картридж DS 903XL для принтеров HP OfficeJet 6950, OfficeJet Pro 6960 пурпурный",8.0,8.11,1.0,0.0
2026-08-18,13424726,Все,1885390838,3803CZAC9GM3,"Картридж DS №913A M для принтеров HP PageWide 377, PW Color 352, PW Pro 452, PW Pro 477 пурпурный",8.0,13.4,1.0,0.0
2026-08-18,13424726,Все,1885390984,0973GPOB49CL,"Картридж DS 88XLY для принтеров HP OfficeJet Pro K5400, OfficeJet Pro K550 желтый",8.0,15.16,1.0,0.0
2026-08-18,13424726,Все,1885391065,3558R2OHF9WZ,"Картридж DS 123XXL для принтеров HP DeskJet 1110, DeskJet 2130, DJ-2136, OfficeJet 3830, OfficeJet 3832 черный",8.0,7.04,1.0,0.0
2026-08-18,13424726,Все,1885391082,1552IBEWJRZF,"Картридж DS C2P25AE для принтеров HP OfficeJet Pro 6230, OfficeJet Pro 6830 пурпурный",8.0,18.17,2.0,0.0
2026-08-18,13424726,Все,1885391146,4367Z4RRNGG8,"Картридж DS №46 для принтеров HP DeskJet Ink Advantage Ultra 4729, DJ 2020hc, DJ 2520hc, DJ Ultra 2029 цветной",8.0,8.17,1.0,0.0
2026-08-18,13424988,3000-5000,1885391161,4538HJZXKYXE,"Картридж DS 305XL для принтеров HP DeskJet 2120, DeskJet 2320, ENVY 6010, ENVY 6020 цветной",12.0,34.35,3.0,0.0
2026-08-18,13424726,Все,1885391161,4538HJZXKYXE,"Картридж DS 305XL для принтеров HP DeskJet 2120, DeskJet 2320, ENVY 6010, ENVY 6020 цветной",8.0,34.35,3.0,0.0
2026-08-18,13424726,Все,1885391246,1559T6DC9FQN,"Картридж DS C9425 для принтеров HP DesignJet 130, DJ 30, DJ 90 голубой",8.0,9.08,1.0,0.0
2026-08-18,13424726,Все,1885391283,0797V9CGAIEQ,"Картридж DS 177C для принтеров HP PhotoSmart 3110, PhotoSmart 3200 голубой",6.0,5.78,1.0,0.0
2026-08-18,13424726,Все,1885391430,0800XKCC87MT,"Картридж DS 177LC для принтеров HP PhotoSmart 3110, PhotoSmart 3200 светло-голубой",8.0,6.92,1.0,0.0
2026-08-18,13424726,Все,1885391656,4471NWC4EQWR,"Картридж DS 730M для принтеров HP DesignJet T1700, DJ T1700dr пурпурный",8.0,27.8,2.0,0.0
2026-08-18,13424726,Все,1885391788,5244GFC37C6L,"Картридж DS №967XL для принтеров HP OfficeJet Pro 9020-ser, OfficeJet Pro 9023 черный",8.0,6.05,1.0,0.0
2026-08-18,13424726,Все,1885391940,4470GHSZLJ4I,"Картридж DS 730C для принтеров HP DesignJet T1700, DJ T1700dr голубой",8.0,24.21,6.0,0.0
2026-08-18,13424726,Все,1885392280,3073QVKZB7MI,"Картридж DS 728XL для принтеров HP DesignJet T730, DJ T830 голубой",8.0,19.7,2.0,0.0
2026-08-18,13424726,Все,1885392323,1551Z4XWMH94,"Картридж DS C2P24AE для принтеров HP OfficeJet Pro 6230, OfficeJet Pro 6830 голубой",8.0,6.9,1.0,0.0
2026-08-18,19250899,от 0 до 3000,1885392437,1558S7QD1QYF,"Картридж DS C5016A для принтеров HP DesignJet 10ps, DJ 120, DJ 130, DJ-130R, DJ 20ps, DJ 30GP, DJ 50ps, DJ 90 черный",10.0,7.98,2.0,0.0
2026-08-18,13424726,Все,1885392437,1558S7QD1QYF,"Картридж DS C5016A для принтеров HP DesignJet 10ps, DJ 120, DJ 130, DJ-130R, DJ 20ps, DJ 30GP, DJ 50ps, DJ 90 черный",8.0,7.98,2.0,0.0
2026-08-18,13424726,Все,1885392573,0798JGMKAIY5,"Картридж DS 177M для принтеров HP PhotoSmart 3110, PhotoSmart 3200 пурпурный",8.0,8.16,1.0,0.0
2026-08-18,13424726,Все,1885392582,2191EFX4C8WR,"Картридж DS 973XLY для принтеров HP PageWide P55250, PW P57750, PW Pro 452dw желтый",8.0,6.88,1.0,0.0
2026-08-18,13424726,Все,1885392708,0955Q01UU12S,"Картридж DS 933XL для принтеров HP OfficeJet 6100, Officejet 6600 пурпурный",7.0,6.59,1.0,0.0
2026-08-18,13424726,Все,1885392822,4638U5S87STO,"Картридж DS 652XL Bk для принтеров HP DeskJet 3636, DeskJet 3855, DJ 1115, DJ 2135, DJ2136, DJ 3635, DJ 3775 черный",8.0,22.17,2.0,0.0
2026-08-18,13424726,Все,1885392828,1562CCRWCOI8,"Картридж DS C9428 для принтеров HP DesignJet 130, DJ 30, DJ 90 светло-голубой",8.0,5.55,1.0,0.0
2026-08-18,13424726,Все,1885394284,3071O6LHC128,"Картридж DS 728XL для принтеров HP DesignJet T730, DJ T830 желтый",8.0,6.99,1.0,0.0
2026-08-18,13424726,Все,1885394288,4390US2E9QZ2,"Картриджи DS №711 х 3 шт для принтеров HP DesignJet T120, DJ-T125, DJ T130, DJ T520 пурпурный",8.0,7.19,1.0,0.0
2026-08-18,13424726,Все,1885394339,2860QM65ERSW,"Картридж DS №727 для принтеров HP DesignJet T1500, DJ-T1530, DJ T2500, DJT2530, DJ T920 фото-черный",8.0,11.99,1.0,0.0
2026-08-18,13424726,Все,1885394350,2862C7J35VC8,"Картридж DS №727 для принтеров HP DesignJet T1500, DJ-T1530, DJ T2500, DJT2530, DJ T920 пурпурный",8.0,7.18,1.0,0.0
2026-08-18,19250899,от 0 до 3000,1885394392,4387Y5H7MYWT,"Картридж DS №912 для принтеров HP OfficeJet 8012, OfficeJet8013 черный",12.0,16.56,2.0,0.0
2026-08-18,13424726,Все,1885394392,4387Y5H7MYWT,"Картридж DS №912 для принтеров HP OfficeJet 8012, OfficeJet8013 черный",8.0,16.56,2.0,0.0
2026-08-18,13424726,Все,1885394704,4690T19USA1R,"Картридж DS №963 для принтеров HP OfficeJet Pro 9010, OfficeJet Pro 9013 пурпурный",8.0,7.24,1.0,0.0
2026-08-18,13424726,Все,1885394848,4698HIAAE72W,"Картридж DS №761 для принтеров HP DesignJet T7100, DJ T7200 черный матовый",8.0,20.3,2.0,0.0
