account,sku,offer_id,name,campaign,bid_now,ceiling,margin_pct,qty_90d,revenue_90d,reason
oz_acc2,1873186559,3622APAJGNT7,"Картридж DS 177 для принтеров HP PhotoSmart 3110, PhotoSmart",Все,6.0,7.3,24.2,0,0,маржа ниже KPI
oz_acc2,1873186559,3622APAJGNT7,"Картридж DS 177 для принтеров HP PhotoSmart 3110, PhotoSmart",от 0 до 3000,11.0,7.3,24.2,0,0,маржа ниже KPI
oz_acc2,1873186597,0838P2EY3O2M,Картридж DS T1711 для принтеров Epson Expression Home XP-103,Все,6.0,4.6,20.3,0,0,маржа ниже KPI
oz_acc2,1873187986,1001V8E61QAJ,"Картриджи DS 44469810-44469752 для принтеров OKI C510, C511,",Все,8.0,312.7,24.5,0,0,маржа ниже KPI
oz_acc2,1873189014,1263T7D2TCYP,"Картридж DS T0792 для принтеров Epson Stylus Photo 1400, Sty",Все,8.0,7.0,23.9,0,0,маржа ниже KPI
oz_acc2,1873189731,5301IB2C9MNB,Лента DS S0721660 для принтеров Dymo Letra Tag 100H черный,от 0 до 3000,10.0,9.6,26.4,0,0,ставка выше потолка
oz_acc2,1873189893,3196CLF4TUC8,"Картриджи DS 054H для принтеров Canon i-SENSYS LBP-620, LBP ",Все,8.0,145.9,22.9,0,0,маржа ниже KPI
oz_acc2,1873190152,5146RF1QI2UB,"Фотобарабан DS 44844470 для принтеров OKI Data MC853, MC873 ",Все,8.0,403.6,24.4,0,0,маржа ниже KPI
oz_acc2,1873190491,2176HASZIYZY,"Картриджи DS TK-5230 для принтеров Kyocera Ecosys M5521cdn, ",Все,9.0,30.3,24.4,1,5728,маржа ниже KPI
oz_acc2,1873190491,2176HASZIYZY,"Картриджи DS TK-5230 для принтеров Kyocera Ecosys M5521cdn, ",3000-5000,15.0,30.3,24.4,1,5728,маржа ниже KPI
oz_acc2,1873191139,0977XT3YD65L,"Картридж DS №971XLM для принтеров HP Officejet Pro X451dw, O",Все,8.0,6.5,18.1,0,0,маржа ниже KPI
oz_acc2,1873191946,3059LY9FJ2XP,"Картриджи DS CF450A-CF453A для принтеров HP Color LJ M652, L",Все,8.0,685.0,24.7,0,0,маржа ниже KPI
oz_acc2,1873192331,2352ZV6F39EB,Картриджи DS 106R03532-106R03535 для принтеров Xerox VersaLi,Все,9.0,109.0,24.1,1,9291,маржа ниже KPI
oz_acc2,1873192331,2352ZV6F39EB,Картриджи DS 106R03532-106R03535 для принтеров Xerox VersaLi,5000-10000,13.0,109.0,24.1,1,9291,маржа ниже KPI
oz_acc2,1873192366,0756KKS1EEEM,Картриджи DS CE410A-CE413A для принтеров HP Color LaserJet P,Все,8.0,105.2,24.0,0,0,маржа ниже KPI
oz_acc2,1873225840,1258NWZ71TFQ,Картридж DS T0595 для принтеров Epson Stylus Photo R2400 све,Все,8.0,2.0,14.3,0,0,маржа ниже KPI
oz_acc2,1873226178,2769GNWJ6I3D,"Картриджи DS TK-8345 для принтеров Kyocera TASKalfa 2552ci, ",Все,8.0,358.5,23.5,0,0,маржа ниже KPI
oz_acc2,1873229544,1313HXVP248K,"Картриджи DS TK-5150 для принтеров Kyocera ECOSYS M6035cdn, ",Все,8.0,251.2,24.9,0,0,маржа ниже KPI
oz_acc2,1882825330,1714YI7LPPTT,"Картридж DS TK-865C для принтеров Kyocera TASKalfa 250ci, TA",Все,8.0,175.7,24.7,0,0,маржа ниже KPI
