external_code;article;название;источник_возврата
3415;CS-CE253X-MPS;Картридж лазерный Cactus CS-CE253X-MPS пурпурный (11000стр.) для HP CLJ CP3525/ CM3530;
3416;CS-CE252X-MPS;Картридж лазерный Cactus CS-CE252X-MPS желтый (11000стр.) для HP CLJ CP3525/CM3530;
3418;CS-CE401X-MPS, CS-CE401XXL;Картридж лазерный Cactus CS-CE401X-MPS голубой (11000стр.) для HP CLJ M551;
3419;CS-CE403X-MPS;Картридж лазерный Cactus CS-CE403X-MPS пурпурный (11000стр.) для HP CLJ M551;
3420;CS-CE402X-MPS;Картридж лазерный Cactus CS-CE402X-MPS желтый (11000стр.) для HP CLJ M551 series;
3422;CS-Q7516X-MPS;Картридж лазерный Cactus CS-Q7516X-MPS черный (23000стр.) для HP LJ 5200/5200N/5200L/5200T;
3437;162539, CS-TN321C, GP_TN-321C_C, NV-TN321TC;Картридж лазерный Cactus CS-TN321C TN-321C голубой (1500стр.) для Brother HL-L8250CDN/MFC-;
3438;162540, CS-TN321M, GP_TN-321M_M, NV-TN321TM;Картридж лазерный Cactus CS-TN321M TN-321M пурпурный (1500стр.) для Brother HL-L8250CDN/MF;
3439;162541, CS-TN321Y, GP_TN-321Y_Y, NV-TN321TY;Картридж лазерный Cactus CS-TN321Y TN-321Y желтый (1500стр.) для Brother HL-L8250CDN/MFC-L;
3442;5231090000, 9963520516, AT-T9661Bk XXL, BS-T9661;Картридж струйный Cactus CS-EPT9661 T9661 черный пигментный (40000стр.) (795мл) для Epson ;
3443;98927840, BS-HPW2070A, GP_W2070A_BK_no_chip, OEM W2070A(БЧ);Картридж W2070A (117A) Bk GP без чипа;
3446;98927843, BS-HPW2072A, GP_W2072A_Y_no_chip, OEM W2072A(БЧ);Картридж W2072A (117A) Y GP без чипа;
3448;157119, 172253, BS-Cn057HBk, BS-Cn057HBk (W/CH);Картридж Canon 057HBk (БЕЗ ЧИПА)  для Canon LBP 220/223dw/226dw/228x/MF440/443/445 10000ст;
3452;BFRXVLC600020, PL_106R03926_Y, SP293454, SP293454_MSK;Цветной тонер картридж 106R03926 Y SP;
3454;BS-HPW2210A (W/CH), GP_W2210A_BK_no_chip, OEM W2210A(БЧ), PL_W2210A_BK_no_chip;Картридж HP W2210A БЕЗ ЧИПА LJP-M255/M282/M283 1.35K Black SuperFine;
3456;BS-HPW2213A (W/CH), GP_W2213A_M_no_chip, OEM W2213A(БЧ), PL_W2213A_M_no_chip;Цветной тонер картридж W2213A (207A) M без чипа SP;
3457;BS-HPW2212A (W/CH), GP_W2212A_Y_no_chip, OEM W2212A(БЧ), PL_W2212A_Y_no_chip;Картридж Sprint SP-H-W2212A Y (207A) без чипа для HP совместимый;
3469;SP293459, SP293459_MSK;Цветной тонер картридж 106R03520 Bk SP;
3470;SP293460, SP293460_MSK;Цветной тонер картридж 106R03522 C SP;
3471;SP293461, SP293461_MSK;Цветной тонер картридж 106R03523 M SP;
3472;SP293462, SP293462_MSK;Картридж 106R03521 Y SP;
3479;183218, BFOK00C610050, BS-44315108, SG-C610K DRUM 44315108;Драм-картридж Smart Graphics SG-C610K-DRUM для OKI C610, C610dm, C610dn (Чёрный, 20000 стр;
3480;183217, BFOK00C610060, BS-44315107, SG-C610C DRUM 44315107;Драм-картридж Smart Graphics SG-C610C-DRUM для OKI C610, C610dm, C610dn (Голубой, 20000 ст;
3481;183216, 44315106/43913806, BFOK00C610070, BS-44315106;Драм-картридж Smart Graphics SG-C610M-DRUM для OKI C610, C610dm, C610dn (Пурпурный, 20000 ;
3482;183215, BFOK00C610080, BS-44315105, SG-C610Y DRUM 44315105;Драм-картридж Smart Graphics SG-C610Y-DRUM для C610, C610dm (Жёлтый, 20000 стр.), совмести;
3486;5215340000, 5221750000, 8888082, AT-PG445XL;Blossom BS-PG-445XL Струйный картридж для Canon PIXMA MG2440/MG2540/MG2940/MX494/iP2840 по;
