external_code;наш_Д;наш_Ш;наш_В;внеш_Д;внеш_Ш;внеш_В;расхождение_по_сторонам;наш_объём_л;внеш_объём_л;разница_объёма_л;число_источников;группа;карточек_wb_acc1;src_file;src_locator;src_sha256
3682;15.0;5.0;4.0;28.5;12.5;3.5;-13.5 / -7.5 / 0.5;0.3;1.247;-0.947;1;В;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1627;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3683;28.0;9.0;4.0;28.5;8.5;3.5;-0.5 / 0.5 / 0.5;1.008;0.848;0.16;1;А;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1626;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3684;28.0;9.0;4.0;28.5;8.5;3.5;-0.5 / 0.5 / 0.5;1.008;0.848;0.16;1;А;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1625;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3685;28.0;9.0;4.0;28.5;8.5;3.5;-0.5 / 0.5 / 0.5;1.008;0.848;0.16;1;А;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1624;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3690;10.0;8.0;5.0;23.0;12.0;4.0;-13.0 / -4.0 / 1.0;0.4;1.104;-0.704;2;В;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r93;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3691;10.0;8.0;5.0;23.0;12.0;4.0;-13.0 / -4.0 / 1.0;0.4;1.104;-0.704;2;В;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r92;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3692;10.0;8.0;5.0;23.0;12.0;4.0;-13.0 / -4.0 / 1.0;0.4;1.104;-0.704;2;В;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r91;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3707;37.0;20.0;15.0;56.0;15.0;14.0;-19.0 / 5.0 / 1.0;11.1;11.76;-0.66;1;В;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r668;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3708;37.0;20.0;15.0;26.0;12.2;5.0;11.0 / 7.8 / 10.0;11.1;1.586;9.514;1;Б;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r258;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3711;37.0;20.0;15.0;20.4;9.2;9.1;16.6 / 10.8 / 5.9;11.1;1.708;9.392;2;Б;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1275;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3712;37.0;20.0;15.0;20.3;9.5;9.2;16.7 / 10.5 / 5.8;11.1;1.774;9.326;2;Б;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1272;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3713;37.0;20.0;15.0;20.4;9.4;9.2;16.6 / 10.6 / 5.8;11.1;1.764;9.336;2;Б;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1273;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3714;37.0;20.0;15.0;20.6;9.2;9.1;16.4 / 10.8 / 5.9;11.1;1.725;9.375;1;Б;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1274;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3716;37.0;20.0;15.0;31.5;14.0;11.0;5.5 / 6.0 / 4.0;11.1;4.851;6.249;1;Б;5;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3401;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3719;30.0;19.0;13.0;33.0;17.0;12.0;-3.0 / 2.0 / 1.0;7.41;6.732;0.678;1;Б;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1420;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3723;10.0;8.0;5.0;13.0;8.0;3.5;-3.0 / 0.0 / 1.5;0.4;0.364;0.036;2;Б;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1254;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3737;17.0;5.0;4.0;15.0;4.8;4.8;2.0 / 0.2 / -0.8;0.34;0.346;-0.006;3;А;9;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r19;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
