nm_id;vendor_code;card_vol_l;real_vol_l;razdutost_x;qty_mo;log_per_fact;save_per_unit;save_per_month;supplier_article
216429056;1853;11.1;7.75;1.43;1;309;100;100;изи: DC-X3330
216360325;3641;11.1;7.8;1.42;1;311;98;98;sakura: SACF257A
248074992;5419;2.88;1.25;2.3;2;116;49;97;sakura: SA067HC
262191976;5447;7.39;4.14;1.79;1;225;97;97;sakura: SATK3440
192228123;1219;1.2;0.13;9.23;3;81;32;96;cactus: CS-LC525XLC
192228147;1221;1.2;0.13;9.23;3;81;32;96;cactus: CS-LC525XLY
181095495;0329;1.2;0.14;8.63;3;128;32;95;изи: IC-H322
199333189;1107;11.1;7.92;1.4;1;310;95;95;sakura: SA106R02312
272510267;0927;1.2;0.16;7.69;3;81;31;93;изи: IC-ET2621
199331668;0011;7.28;4.16;1.75;1;221;93;93;sakura: SACE505A
181115739;3442;3.67;0.59;6.24;1;138;92;92;cactus: GG-C13T966140
313214154;0333G77KUSRX;1.0;0.24;4.13;4;110;23;90;изи: IC-H9351
192227968;0310;1.2;0.19;6.22;3;81;30;90;cactus: CS-C9363
261996764;3779;6.66;3.65;1.83;1;201;90;90;изи: LB-2420
199334609;2987;11.1;9.6;1.16;2;310;45;90;cactus: CS-D203U
209665532;1550;1.2;0.21;5.71;3;81;30;89;изи: IC-HC2P23A
216452043;3855;1.5;0.79;1.9;4;103;21;85;cactus: CS-EPT7741
199330938;3534;6.72;3.98;1.69;1;208;82;82;cactus: CS-TN910BK
209728752;3766;6.66;4.0;1.67;1;207;79;79;profiline: GP_W2070X_BK
323092362;0098P06FJK2O;1.0;0.13;7.81;3;53;26;78;изи: IC-ET0551
257806535;5545;4.48;3.3;1.36;2;171;35;70;sakura: SAW1106X
216356152;5089;8.78;6.48;1.35;1;257;69;69;cactus: CS-DR214
270394778;5526;1.73;0.6;2.88;2;93;34;67;изи: LHW-F-1500
181115460;2185;1.2;0.08;14.29;2;88;33;67;cactus: GG-F6U17AE
263820179;0184;1.2;0.09;13.04;2;81;33;66;cactus: CS-CLI426BK
252726452;0016;1.2;0.09;13.04;2;81;33;66;cactus: CS-CLI426GY
216360024;3760;6.66;4.47;1.49;1;207;65;65;изи: DB-12
199331791;0238;3.15;1.0;3.15;1;126;64;64;profiline: GP_TK-1100
192228142;1229;1.2;0.13;9.23;2;81;32;64;cactus: CS-LC565XLM
192228130;1230;1.2;0.13;9.23;2;81;32;64;cactus: CS-LC565XLY
192228160;1228;1.2;0.13;9.23;2;81;32;64;cactus: CS-LC565XLC
